State,County,Name,Contact Info,Billing Street 1,City,State,Zipcode,Types Accepted,Restrictions,Transportation,Steps,URL,Donation link,Counties served
Alaska,Anchorage Municipality,"Food Bank of Alaska, Inc.",907.272.3663,2192 Viking Drive,Anchorage,AK,99501,,,,,www.foodbankofalaska.org/,https://interland3.donorperfect.net/weblink/weblink.aspx?name=E1503&id=7,"Aleutians East, Aleutians West, Anchorage, Bethel, Bristol Bay, Denali, Dillingham, Fairbanks North Star, Haines, Hoonah Angoon, Juneau, Kenai Peninsula, Ketchikan Gateway, Kodiak Island, Kusilvak, Lake And Peninsula, Matanuska-Susitna, Nome, North Slope, Northwest Arctic, Petersburg, Prince Of Wales-Hyder, Sitka, Skagway, Southeast Fairbanks, Wrangell City And Borough, Yakutat, Yukon-Koyukuk"
Alabama,Jefferson County,Community Food Bank of Central Alabama,205.942.8911,107 Walter Davis Drive,Birmingham,AL,35209,,,,,www.feedingal.org/,https://www.feedingal.org/donate/,"Blount, Calhoun, Cherokee, Clay, Cleburne, Etowah, Jefferson, St. Clair, Shelby, Talladega, Walker, Winston"
Alabama,Madison County,Food Bank of North Alabama,256.539.2256,"2000 B. Vernon Ave., P.O. Box 18607",Huntsville,AL,35805,,,,,www.foodbanknorthal.org/,https://donatenow.networkforgood.org/foodbanknorthal,"Colbert, Cullman, Dekalb, Franklin, Jackson, Lauderdale, Lawrence, Limestone, Madison, Marshall, Morgan"
Alabama,Montgomery County,Montgomery Area Food Bank,334.263.3784,521 Trade Center Street,Montgomery,AL,36108,,,,,mafb.org,https://mafb.kindful.com/,"Autauga, Barbour, Bibb, Bullock, Butler, Chambers, Chilton, Coffee, Coosa, Crenshaw, Dale, Dallas, Elmore, Fayette, Geneva, Greene, Hale, Henry, Houston, Lamar, Lee, Lowndes, Macon, Marengo, Marion, Montgomery, Perry, Pickens, Pike, Randolph, Sumter, Tallapoosa, Tuscaloosa, Wilcox"
Alabama,Mobile County,Feeding the Gulf Coast,251.653.1617,5248 Mobile South Street,Theodore,AL,36582,,,,,www.feedingthegulfcoast.org,https://www.feedingthegulfcoast.org/donate-now,"Baldwin, Choctaw, Clarke, Conecuh, Covington, Escambia, Mobile, Monroe, Washington, Bay, Escambia, Holmes, Okaloosa, Santa Rosa, Walton, Washington, George, Greene, Hancock, Harrison, Jackson, Pearl River, Perry, Stone"
Arkansas,Washington County,Northwest Arkansas Food Bank,479.872.8774,1378 June Self Drive,Bethel Heights,AR,72764,,,,,www.NWAfoodbank.org,https://interland3.donorperfect.net/weblink/WebLink.aspx?name=E334837&id=12,"Benton, Carroll, Madison, Washington"
Arkansas,Sebastian County,River Valley Regional Food Bank,479.785.0582,"1617 South Zero Street, PO Box 180070",Ft. Smith,AR,72918,,,,,www.rvrfoodbank.org/,https://www.rvrfoodbank.org/donate/,"Crawford, Franklin, Johnson, Logan, Polk, Scott, Sebastian, Yell"
Arkansas,Craighead County,Food Bank of Northeast Arkansas,870.932.3663,"3414 One Place, P.O. Box 2097",Jonesboro,AR,72402,,,,,www.foodbankofnea.org,https://interland3.donorperfect.net/weblink/WebLink.aspx?name=E333681&id=13,"Baxter, Boone, Clay, Craighead, Cross, Fulton, Greene, Izard, Jackson, Lawrence, Marion, Mississippi, Newton, Poinsett, Randolph, St. Francis, Searcy, Sharp, Stone, Woodruff"
Arkansas,Pulaski County,Arkansas Foodbank,859.255.6592,4301 W 65th St,Little Rock,AR,72209,,,,,arkansasfoodbank.org/,https://interland3.donorperfect.net/weblink/weblink.aspx?name=E202274&id=44,"Arkansas, Ashley, Bradley, Calhoun, Chicot, Clark, Cleburne, Cleveland, Conway, Dallas, Desha, Drew, Faulkner, Garland, Grant, Hot Spring, Independence, Jefferson, Lee, Lincoln, Lonoke, Monroe, Montgomery, Ouachita, Perry, Phillips, Pope, Prairie, Pulaski, Saline, Union, Van Buren, White"
Arkansas,Miller County,"Harvest Regional Food Bank, Inc.",870.774.1398,"3120 East 19th Street, P.O. Box 707",Texarkana,AR,71854,,,,,www.harvestregionalfoodbank.org,https://www.harvestregionalfoodbank.org/donate,"Columbia, Hempstead, Howard, Lafayette, Little River, Miller, Nevada, Pike, Sevier, Bowie"
